Jar,Species,Treatment,Day,Replicate,Sample.Day,Community,Species.Richness,Abundance
18,Blepharisma,S,4,3,1,Blepharisma+Loxocephallus,2,1200
18,Loxocephallus,S,4,3,1,Blepharisma+Loxocephallus,2,25
19,Blepharisma,S,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,200
19,Loxocephallus,S,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,0
19,P.caudatum,S,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,2700
20,Blepharisma,S,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,500
20,Loxocephallus,S,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,1
20,P.caudatum,S,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,3300
21,Blepharisma,S,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
21,Loxocephallus,S,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
21,P.caudatum,S,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
22,P.caudatum,U3,4,1,1,P.caudatum,1,2300
23,P.caudatum,U3,4,2,1,P.caudatum,1,3600
24,P.caudatum,U3,4,3,1,P.caudatum,1,2300
25,Loxocephallus,U3,4,1,1,Loxocephallus,1,NA
26,Loxocephallus,U3,4,2,1,Loxocephallus,1,400
27,Loxocephallus,U3,4,3,1,Loxocephallus,1,300
28,Blepharisma,U3,4,1,1,Blepharisma,1,1600
29,Blepharisma,U3,4,2,1,Blepharisma,1,1800
30,Blepharisma,U3,4,3,1,Blepharisma,1,1400
31,Loxocephallus,U3,4,1,1,P.caudatum+Loxocephallus,2,100
31,P.caudatum,U3,4,1,1,P.caudatum+Loxocephallus,2,4200
32,Loxocephallus,U3,4,2,1,P.caudatum+Loxocephallus,2,100
32,P.caudatum,U3,4,2,1,P.caudatum+Loxocephallus,2,3500
33,Loxocephallus,U3,4,3,1,P.caudatum+Loxocephallus,2,0
33,P.caudatum,U3,4,3,1,P.caudatum+Loxocephallus,2,4200
34,Blepharisma,U3,4,1,1,P.caudatum+Blepharisma,2,200
34,P.caudatum,U3,4,1,1,P.caudatum+Blepharisma,2,3200
35,Blepharisma,U3,4,2,1,P.caudatum+Blepharisma,2,600
35,P.caudatum,U3,4,2,1,P.caudatum+Blepharisma,2,3000
36,Blepharisma,U3,4,3,1,P.caudatum+Blepharisma,2,200
36,P.caudatum,U3,4,3,1,P.caudatum+Blepharisma,2,3600
37,Blepharisma,U3,4,1,1,Blepharisma+Loxocephallus,2,1200
37,Loxocephallus,U3,4,1,1,Blepharisma+Loxocephallus,2,100
38,Blepharisma,U3,4,2,1,Blepharisma+Loxocephallus,2,1800
38,Loxocephallus,U3,4,2,1,Blepharisma+Loxocephallus,2,12.5
39,Blepharisma,U3,4,3,1,Blepharisma+Loxocephallus,2,NA
39,Loxocephallus,U3,4,3,1,Blepharisma+Loxocephallus,2,NA
40,Blepharisma,U3,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,200
40,Loxocephallus,U3,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,25
40,P.caudatum,U3,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,4000
41,Blepharisma,U3,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,400
41,Loxocephallus,U3,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,2
41,P.caudatum,U3,4,2,1,P.caudatum+Loxocephallus+Blepharisma,3,2700
42,Blepharisma,U3,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
42,Loxocephallus,U3,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
42,P.caudatum,U3,4,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
43,P.caudatum,U1.5,4,1,1,P.caudatum,1,4300
44,P.caudatum,U1.5,4,2,1,P.caudatum,1,2800
45,P.caudatum,U1.5,4,3,1,P.caudatum,1,2900
46,Loxocephallus,U1.5,4,1,1,Loxocephallus,1,200
47,Loxocephallus,U1.5,4,2,1,Loxocephallus,1,100
48,Loxocephallus,U1.5,4,3,1,Loxocephallus,1,500
49,Blepharisma,U1.5,4,1,1,Blepharisma,1,1300
50,Blepharisma,U1.5,4,2,1,Blepharisma,1,800
51,Blepharisma,U1.5,4,3,1,Blepharisma,1,1000
52,Loxocephallus,U1.5,4,1,1,P.caudatum+Loxocephallus,2,100
52,P.caudatum,U1.5,4,1,1,P.caudatum+Loxocephallus,2,3900
53,Loxocephallus,U1.5,4,2,1,P.caudatum+Loxocephallus,2,0
53,P.caudatum,U1.5,4,2,1,P.caudatum+Loxocephallus,2,3700
54,Loxocephallus,U1.5,4,3,1,P.caudatum+Loxocephallus,2,2
54,P.caudatum,U1.5,4,3,1,P.caudatum+Loxocephallus,2,4000
55,Blepharisma,U1.5,4,1,1,P.caudatum+Blepharisma,2,600
55,P.caudatum,U1.5,4,1,1,P.caudatum+Blepharisma,2,3300
