Jar,Species,Day,Treatment,Replicate,Community,Community.Complexity,td
135,Blepharisma,0,15,5,Loxocephalus + Blepharisma + Colpidium,3,100
135,Colpidium,0,15,5,Loxocephalus + Blepharisma + Colpidium,3,100
135,Loxocephallus,0,15,5,Loxocephalus + Blepharisma + Colpidium,3,100
136,Blepharisma,0,20,1,Loxocephalus + Blepharisma + Colpidium,3,100
136,Colpidium,0,20,1,Loxocephalus + Blepharisma + Colpidium,3,100
136,Loxocephallus,0,20,1,Loxocephalus + Blepharisma + Colpidium,3,100
137,Blepharisma,0,20,2,Loxocephalus + Blepharisma + Colpidium,3,100
137,Colpidium,0,20,2,Loxocephalus + Blepharisma + Colpidium,3,100
137,Loxocephallus,0,20,2,Loxocephalus + Blepharisma + Colpidium,3,100
138,Blepharisma,0,20,3,Loxocephalus + Blepharisma + Colpidium,3,100
138,Colpidium,0,20,3,Loxocephalus + Blepharisma + Colpidium,3,100
138,Loxocephallus,0,20,3,Loxocephalus + Blepharisma + Colpidium,3,100
139,Blepharisma,0,20,4,Loxocephalus + Blepharisma + Colpidium,3,100
139,Colpidium,0,20,4,Loxocephalus + Blepharisma + Colpidium,3,100
139,Loxocephallus,0,20,4,Loxocephalus + Blepharisma + Colpidium,3,100
140,Blepharisma,0,20,5,Loxocephalus + Blepharisma + Colpidium,3,100
140,Colpidium,0,20,5,Loxocephalus + Blepharisma + Colpidium,3,100
140,Loxocephallus,0,20,5,Loxocephalus + Blepharisma + Colpidium,3,100
141,Blepharisma,0,15,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
141,Colpidium,0,15,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
141,Loxocephallus,0,15,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
141,P.caudatum,0,15,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
142,Blepharisma,0,15,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
142,Colpidium,0,15,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
142,Loxocephallus,0,15,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
142,P.caudatum,0,15,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
143,Blepharisma,0,15,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
143,Colpidium,0,15,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
143,Loxocephallus,0,15,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
143,P.caudatum,0,15,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
144,Blepharisma,0,15,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
144,Colpidium,0,15,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
144,Loxocephallus,0,15,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
144,P.caudatum,0,15,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
145,Blepharisma,0,15,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
145,Colpidium,0,15,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
145,Loxocephallus,0,15,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
145,P.caudatum,0,15,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
146,Blepharisma,0,20,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
146,Colpidium,0,20,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
146,Loxocephallus,0,20,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
146,P.caudatum,0,20,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
147,Blepharisma,0,20,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
147,Colpidium,0,20,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
147,Loxocephallus,0,20,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
147,P.caudatum,0,20,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
148,Blepharisma,0,20,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
148,Colpidium,0,20,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
148,Loxocephallus,0,20,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
148,P.caudatum,0,20,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
149,Blepharisma,0,20,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
149,Colpidium,0,20,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
149,Loxocephallus,0,20,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
149,P.caudatum,0,20,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
150,Blepharisma,0,20,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
150,Colpidium,0,20,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
150,Loxocephallus,0,20,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
150,P.caudatum,0,20,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
1,P.caudatum,2,15,1,P.caudatum,1,228.9590714
2,P.caudatum,2,15,2,P.caudatum,1,322.6591402
3,P.caudatum,2,15,3,P.caudatum,1,242.2083416
4,P.caudatum,2,15,4,P.caudatum,1,62.11875928
5,P.caudatum,2,15,5,P.caudatum,1,80.78794835
6,P.caudatum,2,20,1,P.caudatum,1,274.0544742
7,P.caudatum,2,20,2,P.caudatum,1,360.0202309
8,P.caudatum,2,20,3,P.caudatum,1,138.1777818
9,P.caudatum,2,20,4,P.caudatum,1,354.3087035
10,P.caudatum,2,20,5,P.caudatum,1,145.6838402
11,Loxocephallus,2,15,1,Loxocephalus,1,273.264156
12,Loxocephallus,2,15,2,Loxocephalus,1,197.515179
13,Loxocephallus,2,15,3,Loxocephalus,1,117.4155907
14,Loxocephallus,2,15,4,Loxocephalus,1,121.857719
15,Loxocephallus,2,15,5,Loxocephalus,1,91.234475
16,Loxocephallus,2,20,1,Loxocephalus,1,150.0518337
17,Loxocephallus,2,20,2,Loxocephalus,1,267.170692
18,Loxocephallus,2,20,3,Loxocephalus,1,103.7118188
19,Loxocephallus,2,20,4,Loxocephalus,1,286.6797498
20,Loxocephallus,2,20,5,Loxocephalus,1,163.5648784
21,Colpidium,2,15,1,Colpidium,1,421.8671437
22,Colpidium,2,15,2,Colpidium,1,516.000399
23,Colpidium,2,15,3,Colpidium,1,426.3535527
24,Colpidium,2,15,4,Colpidium,1,152.6369705
25,Colpidium,2,15,5,Colpidium,1,392.117523
26,Colpidium,2,20,1,Colpidium,1,946.2796982
27,Colpidium,2,20,2,Colpidium,1,79.61899586
28,Colpidium,2,20,3,Colpidium,1,2801.808651
29,Colpidium,2,20,4,Colpidium,1,1350.714427
30,Colpidium,2,20,5,Colpidium,1,1596.5655
31,Blepharisma,2,15,1,Blepharisma,1,143.3042368
32,Blepharisma,2,15,2,Blepharisma,1,65.23950846
33,Blepharisma,2,15,3,Blepharisma,1,235.6418753
34,Blepharisma,2,15,4,Blepharisma,1,112.8485099
35,Blepharisma,2,15,5,Blepharisma,1,163.6744829
36,Blepharisma,2,20,1,Blepharisma,1,168.5855797
37,Blepharisma,2,20,2,Blepharisma,1,141.6868183
38,Blepharisma,2,20,3,Blepharisma,1,131.1477116
39,Blepharisma,2,20,4,Blepharisma,1,145.7976175
40,Blepharisma,2,20,5,Blepharisma,1,146.3190984
41,Loxocephallus,2,15,1,Paramecium caudatum + Loxocephalus,2,68.77490167
41,P.caudatum,2,15,1,Paramecium caudatum + Loxocephalus,2,68.77490167
42,Loxocephallus,2,15,2,Paramecium caudatum + Loxocephalus,2,118.556336
42,P.caudatum,2,15,2,Paramecium caudatum + Loxocephalus,2,118.556336
43,Loxocephallus,2,15,3,Paramecium caudatum + Loxocephalus,2,43.9161581
43,P.caudatum,2,15,3,Paramecium caudatum + Loxocephalus,2,43.91616946
44,Loxocephallus,2,15,4,Paramecium caudatum + Loxocephalus,2,136.9715524
44,P.caudatum,2,15,4,Paramecium caudatum + Loxocephalus,2,20.798058
45,Loxocephallus,2,15,5,Paramecium caudatum + Loxocephalus,2,191.7355729
45,P.caudatum,2,15,5,Paramecium caudatum + Loxocephalus,2,92.73931782
46,Loxocephallus,2,20,1,Paramecium caudatum + Loxocephalus,2,246.5161933
46,P.caudatum,2,20,1,Paramecium caudatum + Loxocephalus,2,123.2580967
47,Loxocephallus,2,20,2,Paramecium caudatum + Loxocephalus,2,137.857715
47,P.caudatum,2,20,2,Paramecium caudatum + Loxocephalus,2,413.573145
48,Loxocephallus,2,20,3,Paramecium caudatum + Loxocephalus,2,121.2275748
48,P.caudatum,2,20,3,Paramecium caudatum + Loxocephalus,2,121.2275748
49,Loxocephallus,2,20,4,Paramecium caudatum + Loxocephalus,2,142.8513724
49,P.caudatum,2,20,4,Paramecium caudatum + Loxocephalus,2,62.76140824
