,Jar,Species,Day,Treatment,Replicate,Community,Community.Complexity,td
214,118,P.caudatum,0,20,3,P.caudatum + Loxocephalus + Colpidium,3,100
215,119,Colpidium,0,20,4,P.caudatum + Loxocephalus + Colpidium,3,100
216,119,Loxocephallus,0,20,4,P.caudatum + Loxocephalus + Colpidium,3,100
217,119,P.caudatum,0,20,4,P.caudatum + Loxocephalus + Colpidium,3,100
218,120,Colpidium,0,20,5,P.caudatum + Loxocephalus + Colpidium,3,100
219,120,Loxocephallus,0,20,5,P.caudatum + Loxocephalus + Colpidium,3,100
220,120,P.caudatum,0,20,5,P.caudatum + Loxocephalus + Colpidium,3,100
221,121,Blepharisma,0,15,1,P.caudatum + Blepharisma + Colpidium,3,100
222,121,Colpidium,0,15,1,P.caudatum + Blepharisma + Colpidium,3,100
223,121,P.caudatum,0,15,1,P.caudatum + Blepharisma + Colpidium,3,100
224,122,Blepharisma,0,15,2,P.caudatum + Blepharisma + Colpidium,3,100
225,122,Colpidium,0,15,2,P.caudatum + Blepharisma + Colpidium,3,100
226,122,P.caudatum,0,15,2,P.caudatum + Blepharisma + Colpidium,3,100
227,123,Blepharisma,0,15,3,P.caudatum + Blepharisma + Colpidium,3,100
228,123,Colpidium,0,15,3,P.caudatum + Blepharisma + Colpidium,3,100
229,123,P.caudatum,0,15,3,P.caudatum + Blepharisma + Colpidium,3,100
230,124,Blepharisma,0,15,4,P.caudatum + Blepharisma + Colpidium,3,100
231,124,Colpidium,0,15,4,P.caudatum + Blepharisma + Colpidium,3,100
232,124,P.caudatum,0,15,4,P.caudatum + Blepharisma + Colpidium,3,100
233,125,Blepharisma,0,15,5,P.caudatum + Blepharisma + Colpidium,3,100
234,125,Colpidium,0,15,5,P.caudatum + Blepharisma + Colpidium,3,100
235,125,P.caudatum,0,15,5,P.caudatum + Blepharisma + Colpidium,3,100
236,126,Blepharisma,0,20,1,P.caudatum + Blepharisma + Colpidium,3,100
237,126,Colpidium,0,20,1,P.caudatum + Blepharisma + Colpidium,3,100
238,126,P.caudatum,0,20,1,P.caudatum + Blepharisma + Colpidium,3,100
239,127,Blepharisma,0,20,2,P.caudatum + Blepharisma + Colpidium,3,100
240,127,Colpidium,0,20,2,P.caudatum + Blepharisma + Colpidium,3,100
241,127,P.caudatum,0,20,2,P.caudatum + Blepharisma + Colpidium,3,100
242,128,Blepharisma,0,20,3,P.caudatum + Blepharisma + Colpidium,3,100
243,128,Colpidium,0,20,3,P.caudatum + Blepharisma + Colpidium,3,100
244,128,P.caudatum,0,20,3,P.caudatum + Blepharisma + Colpidium,3,100
245,129,Blepharisma,0,20,4,P.caudatum + Blepharisma + Colpidium,3,100
246,129,Colpidium,0,20,4,P.caudatum + Blepharisma + Colpidium,3,100
247,129,P.caudatum,0,20,4,P.caudatum + Blepharisma + Colpidium,3,100
248,130,Blepharisma,0,20,5,P.caudatum + Blepharisma + Colpidium,3,100
