Temperature,Species,Replicate,Date,Observer,Density
30,p_caudatum,2,23/11/2021,Francesco,0.11
30,p_caudatum,3,23/11/2021,Francesco,0.09
30,p_caudatum,4,23/11/2021,Francesco,0.16
30,philodina,1,23/11/2021,Ellie,0.022
30,philodina,2,23/11/2021,Ellie,0.037
30,philodina,4,23/11/2021,Ellie,0.026
30,spirostomum,1,23/11/2021,Ellie,0.003
30,spirostomum,2,23/11/2021,Ellie,0.003
30,spirostomum,3,23/11/2021,Ellie,0.003
30,spirostomum,4,23/11/2021,Ellie,0.002
25,blepharisma,1,23/11/2021,Ellie,0.16
25,blepharisma,2,23/11/2021,Ellie,0.13
25,blepharisma,3,23/11/2021,Ellie,0.21
25,blepharisma,4,23/11/2021,Ellie,0.11
25,colpidium,1,23/11/2021,Ellie,0.7
25,colpidium,2,23/11/2021,Ellie,0.7
25,colpidium,3,23/11/2021,Ellie,0.4
25,colpidium,4,23/11/2021,Ellie,0.4
25,lepadella,1,23/11/2021,Francesco,0.07
25,lepadella,2,23/11/2021,Francesco,0.025
25,lepadella,3,23/11/2021,Francesco,0.08
25,lepadella,4,23/11/2021,Francesco,0.015
25,p_aurelia,1,23/11/2021,Ellie,0.13
25,p_aurelia,2,23/11/2021,Ellie,0.14
25,p_aurelia,3,23/11/2021,Ellie,0.18
25,p_aurelia,4,23/11/2021,Ellie,0.14
25,p_caudatum,1,23/11/2021,Ellie,0.13
25,p_caudatum,2,23/11/2021,Ellie,0.16
25,p_caudatum,3,23/11/2021,Ellie,0.13
25,p_caudatum,4,23/11/2021,Ellie,0.08
25,philodina,1,23/11/2021,Ellie,0.03
25,philodina,2,23/11/2021,Ellie,0.036
25,philodina,3,23/11/2021,Ellie,0.018
25,spirostomum,1,23/11/2021,Francesco,0
25,spirostomum,2,23/11/2021,Francesco,0
25,spirostomum,3,23/11/2021,Francesco,0
25,spirostomum,4,23/11/2021,Francesco,0.00004
20,blepharisma,1,23/11/2021,Ellie,0.19
20,blepharisma,2,23/11/2021,Ellie,0.13
20,blepharisma,3,23/11/2021,Ellie,0.21
20,blepharisma,4,23/11/2021,Ellie,0.09
20,colpidium,1,23/11/2021,Ellie,0.4
20,colpidium,2,23/11/2021,Ellie,0.8
20,colpidium,3,23/11/2021,Ellie,1.7
20,colpidium,4,23/11/2021,Ellie,1.1
20,lepadella,1,23/11/2021,Ellie,0.042
20,lepadella,2,23/11/2021,Ellie,0.048
20,lepadella,3,23/11/2021,Ellie,0.068
20,lepadella,4,23/11/2021,Ellie,0.042
20,p_aurelia,1,23/11/2021,Francesco,0.03
20,p_aurelia,2,23/11/2021,Francesco,0.09
20,p_aurelia,3,23/11/2021,Francesco,0.19
20,p_aurelia,4,23/11/2021,Francesco,0.12
